Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,hourly,employer_provided,age,python_yn,sas_yn,aws_yn,spark_yn,rstudio_yn,sql_yn,tableau_yn,xcel_yn,powerbi_yn,State,min_salary,max_salary,Company
Data Scientist 1,57-94,"At NGL, we strive to make data-driven decisions for our internal and external customers. We endeavor to utilize advanced analytic tools and processes to help NGL use data as an asset. To help advance us even further, we’re searching for a Data Scientist to join our team. The ideal candidate will be responsible for performing complex analyses, creating advanced visualizations, applying advanced predictive analytics and machine learning techniques, and structuring data in an optimal format for NGL.

Perform advanced analytics using predictive modeling, machine learning, and other advanced techniques.
Builds large and complex information sets using both unstructured and structured data.
Provides detailed insights to others on issues.
Use data driven insights to recommend opportunities for growth, competitiveness, and profitability.
Builds creative visualizations that tell a story.
Effectively communicate results of advanced analytics to both technical and non- technical audiences.
Recommend and develop new metrics to advance decision making.
Provides leadership, coaching, and/or mentoring to others.
Share ownership of the solution deployment, testing, quality, monitoring, and operational excellence with the rest of the agile team
Participate in regular team and stakeholder meetings
Continually develop skill sets and abilities to keep them relevant, current, and applicable to NGL's current and future needs.
Follow data science development life cycle and quality assurance best practices and governance
Perform other duties and responsibilities as needed

Critical thinking, analytical, and problem solving skills; strong technical and non-technical communication (verbal, written, listening) and interpersonal skills; highly detail oriented; ability to work independently and in a team; excellent time and priority management; proven abilities to take initiative and be innovative; working knowledge of Scrum
Required Proficiencies:
Ability to lead multiple projects while providing effective input and briefing senior leaders.
Strong problem-solving abilities.
Ability and willingness to learn and extend skills and mentor others.
Strong oral and written communication skills.
Experience in statistical modeling, machine learning, and other advanced techniques.
Experience building structured and unstructured data sets together.
Experience creating visualizations in Tableau, PowerBI, or other similar BI tool.",3.2,"National Guardian Life Insurance Company
3.2","Madison, WI",201 to 500 Employees,1909,Company - Private,Insurance Carriers,Insurance,$500 million to $1 billion (USD),0,0,111,n,n,n,n,n,n,y,y,y, WI,57,94,"National Guardian Life Insurance Company
"
Data Scientist,80-120,"About ClearCut Analytics
ClearCut was founded in Chicago with the mission of revolutionizing strategic decision-making by the world's leading brands through data-powered business intelligence. With a focus on the Amazon marketplace, ClearCut provides a vast array of sales analytics to equip brands with the information they need to maximize their value.


Data Scientist Job Description
ClearCut Analytics is looking for an innovative, solutions-oriented Data Scientist to join our fast-paced company and growing Analytics & Product Development team. The Data Scientist will play a key role in our company’s growth through building a highly scalable infrastructure that allows our team to develop data-driven solutions to solve complex business challenges. The ideal candidate is passionate about technology, loves collaborating to solve a wide variety of challenges and interesting use cases. This role will report to ClearCut’s Chief Technology Officer.
Responsibilities
Helping to build and drive the Data Science and Analytics roadmap
Leveraging data to drive business solutions for clients that are presented through ClearCut’s SaaS platform
Performing data collection, as well as developing custom models and algorithms to apply to data sets
Using predictive modeling to increase and optimize business operations, customer experience, revenue generation, and other business outcomes
Processing, cleansing, and verifying the integrity of data used for modeling and analysis, while enhancing processes and tools used to monitor model performance and input data
Developing machine learning models and productizing AI-based solutions alongside product and development team
Ideating new data-related concepts and applications then overseeing projects through deployment
Taking end-to-end ownership of problem domains and continuously improving upon quantitative solutions
Requirements
MS or Bachelor’s Degree in Mathematics, Statistics, CS/Engineering, or similar field
4+ years of professional experience in an analytics and data science environment utilizing quantitative analytics methodologies, experience in a SaaS or eCommerce environment a plus
Experience writing programs/queries with data analysis tools and languages such as Python, R, SAS, AMPL, SQL, or Alteryx
Hands-on experience with multivariate analytic techniques: linear and logistic regression, decision tree, cluster and factor analysis, time-series forecasting methods, SVM models, and/or neural networks
Understanding of broad business principles and the ability to create solutions for real-world challenges
Ability to thrive in a fast-paced, entrepreneurial environment
Eagerness to learn and grow",4.8,"ClearCut Analytics
4.8","Chicago, IL",1 to 50 Employees,2016,Company - Private,Research & Development,Business Services,Unknown / Non-Applicable,0,1,4,y,y,n,n,n,y,n,n,n, IL,80,120,"ClearCut Analytics
"
Senior Data Scientist Virtual Hiring Event,104-166,"The Zebra Hiring Event // Senior Data ScientistEvent DetailsDate: Wednesday, September 30, 2020What We're Hiring ForSenior Data ScientistIntake Details:Requirements5+ years experience as a data scientistSolid mathematical foundation and knowledge of a variety of ML and statistical methodsStrong proficiency in SQL and PythonFamiliarity with writing production code and modern software engineering best practicesBachelor’s degree in a quantitative field, or equivalent experienceExperience as a data scientist in a product driven B2C startupExperience applying data science to marketing use cases (automated bidding, attribution, etc.)Technical requirementsThanks for applying to The Zebra! In this virtual interview, we will go over your background and experience and share more about The Zebra and this position.The interview will take place on Indeed's virtual interviewing platform. After RSVP, you will find a link in your email that will lead you directly to the virtual interview lobby during the event. Try to find a quiet place with good lighting and a stable internet connection.What to bring to this eventBreathe easy & be yourself. We won’t be asking you any trick questions; we want to get to know the real you.Do your research on us. We love it when people are interested & passionate about where they will be working. We have a lot of amazing people and we’d love to add more.Use the STAR method for answering interview questions (when relevant) https://www.indeed.com/career-advice/interviewing/how-to-use-the-star-interview-response-techniqueVisual presentation matters. With video/phone interviews - things can always go wrong last minute. Make sure you have prepared ahead of time.Completing our online application prior to the event is strongly encouraged and will speed up the process.What to wearDress code is Business casual (dress pants/skirt, button down/blouse, optional tie).About The ZebraAt The Zebra, our catchphrase is All Stripes Welcome. Diversity, inclusion, and belonging is an important part of our culture. We have active Employee Resource Groups and tons of extra-curricular activities (ie Cook-Offs, Trivia nights, internal/externally-led workshops, and many more!)Some of our unique perks include a $100/month wellness benefit, amazing paid parental leave, pet adoption stipends (“Pawternity Leave”), Wednesday catered lunches & a coffee bar/barista onsite! We prioritize work-life balance and encourage our employees to use their unlimited PTO!Our core values are centered around continuous learning & improvement, expressing gratitude, and delivering amazing solutions and experiences for both our customers and our employees.What is a Virtual Hiring Event?Virtual hiring events are a great way for employers and jobseekers to connect, even if they aren't in the same physical location. Hiring is a human process, and they would like to talk with you online (either through chat, on the phone, or video) to see if you’re a fit!As a Data Scientist at The Zebra, you will collaborate cross-functionally, working with product managers, engineers, and marketers to identify opportunities and scope new data science projects. You’ll dig into data, build models, and design and analyze experiments to create the maximum impact for the business. You’ll work with software engineers to write production code and deploy models. As part of a small and highly autonomous team, you will have the unique opportunity to help define the data science process and Data Science team culture as a whole.WHAT YOU'LL DO:Build models to optimize and automate marketing acquisition efforts (i.e. bidding algorithms)Collaborate with product managers, engineers, and business stakeholders to design and develop solutions that can successfully integrate with our businessBecome a technical leader on the team and mentor more junior data scientistsWrite maintainable, clean model code to deploy models using best practices from software engineeringTranslate complex analytical results into insights, and communicate them throughout the organization",4.0,"The Zebra
4.0","Austin, TX",51 to 200 Employees,2012,Company - Private,Insurance Agencies & Brokerages,Insurance,Unknown / Non-Applicable,0,0,8,y,n,n,n,n,y,n,n,n, TX,104,166,"The Zebra
"
Data Scientist Virtual Hiring Event,80-132,"Oasis Systems Hiring Event!Event DetailsDate: Wednesday, September 30, 2020What We're Hiring ForData ScientistData Analytics Project ManagerIntake Details:RequirementsSAS, Data Risk AnalystTechnical requirementsThe interview will take place on Indeed's virtual interviewing platform. After RSVP, you will find a link in your email that will lead you directly to the video interview lobby during the event. Try to find a quiet place with good lighting and a stable internet connection.What to bring to this eventUpdated resumeCompleting our online application prior to the event is strongly encouraged and will speed up the process.What to wearDress code is Casual (come as you are, but please be presentable).About Oasis Systems, LLCOasis Systems is a leading technology services company providing a broad range of capabilities in Systems Engineering, Enterprise Systems and Applications, Information Technology, Cyber Security, Specialized Engineering Solutions, Human Factors Engineering, and Professional Services. Oasis creates sustainable value for mission critical programs with all Department of Defense Branches, FAA, NRC and other Federal Agencies. With people in 36 states and 10 countries Oasis delivers talent, innovation and intelligence for mission success.Please Visit Our Page for more information!https://www.oasissystems.com/What is a Virtual Hiring Event?Virtual hiring events are a great way for employers and jobseekers to connect, even if they aren't in the same physical location. Hiring is a human process, and they would like to talk with you online (either through chat, on the phone, or video) to see if you’re a fit!The successful candidate shall provide support in data analytics (including descriptive and predictive analytics, data mining, and market risk analysis), large data manipulation, data visualization and use of data analytic tools. Activities which the contractor may be tasked to perform include gathering requirements from stakeholders, conducting financial data analysis and risk analysis in a Big Data environment, and creating interactive dashboard reports and documentations.A minimum of 8 years of relevant experience in the data analysis field and a minimum of 5 years of industrial analytics experience using statistical program languages such as SAS, R, and Python (recent use during the past 3 years) as well as extensive experience with SQL.https://oasiscareers-oasissystems.icims.com/jobs/9890/data-scientist-risk-analyst/job",3.7,"Oasis Systems, LLC
3.7","Washington, DC",1001 to 5000 Employees,1997,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),0,0,23,y,y,n,n,n,y,n,n,n, DC,80,132,"Oasis Systems, LLC
"
Senior Genomic Data Scientist,81-138,"GeneDx is seeking a Senior Genomic Data ScientistGeneDx is a rapidly-growing, diverse clinical laboratory in Gaithersburg, MD that provides molecular diagnosis for genetic disorders. GeneDx is recruiting for a full-time Senior Genomic Data Scientist. This scientist will work as part of a team to develop techniques and software for genomic and phenomic data analysis. The successful candidate must be self-motivated and able to work both independently and as part of a small team.To learn more about GeneDx, please visit our website at www.genedx.com.Responsibilities include:Develop and use bioinformatics tools to process, analyze, and interpret DNA, datasets resulting from NGS, array-based, and other technologiesOngoing assessment and incorporation of relevant public and commercial analytical tools and the development of novel methods as neededCreate methods to interpret the biological impact of genetic variantsImprove existing data pipelines to further automate internal workflowsCollaborate with the engineering team to develop large-scale data processing pipelinesCollaborate internally on software development and/or statistical analysis for scientific researchContribute development and expertise for ad-hoc analysis on interdisciplinary company projectsQualifications include:MS or PhD in Genetics, Bioinformatics, Computer Science or a related field3+ years relevant professional experience including analysis of genetic dataProficiency in Python or another major scripting languageWorking knowledge of command-line Linux, shell scripting, and HPC/cloud computing (SLURM, SGE, AWS, Azure or similar)Working knowledge of relational databases (PostgreSQL or similar) preferredExperience with Git, SVN or other version control software plus other best practices for software development preferredFamiliarity with next-generation sequencing (NGS) data and related tools (Samtools, GATK, etc.) and other genetic assay data (e.g. aCGH)Prior experience with human geneticsBenefits include:Paid Time Off (PTO)Health, dental, vision, life insurance, LT/ST disability plansFlexible Spending Account (FSA)Health Savings Account (HSA)401K retirement savings plan with company matchEmployee DiscountsRegular performance appraisalsMany promotions from withinBusiness casual dress codeTelecommuting options available",2.8,"GeneDx
2.8","Gaithersburg, MD",201 to 500 Employees,-1,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10 to $25 million (USD),0,0,-1,y,n,y,n,n,y,n,n,n, MD,81,138,"GeneDx
"
Data Scientist - Statistics,77-124,"Position Overview:

The Soybean Crop Modeling Team at Climate is seeking a highly motivated researcher with demonstrated experience applying advanced statistics and data science methods to develop predictive agronomic models for soy crop systems.
This position is within the science R&D team that uses process, statistical, and machine-learning models, big data, and cloud computing to develop solutions for farmers via digital agriculture. You will work closely with collaborating teams focused on leveraging genetic, environmental and management data to create integrated models that can help farmers better manage key aspects of soybean crop to improve yield outcome.
The role involves working with diverse data sources, and will require the ability to apply statistical and machine learning models to soy crop data. In addition, a strong understanding and ability to communicate limitations and solutions surrounding data quality and/or quantity, as well as methodologies, to an interdisciplinary team of scientists and engineers is key. You will have the opportunity to work with the richest agricultural datasets available in the world to help farmers meet the challenges of feeding a growing population.
What You Will Do:
Explore, munge, and model large and diverse datasets
Design and prototype models using statistical modeling, process modeling, and other techniques such as machine learning
Implement and test algorithms and techniques relevant to achieving project objectives
Analyze and judge the quality of data and work with the data quality team to resolve issues
Work closely with a team of world-class scientists, engineers and mathematicians to deliver impactful scientific research
Select the most appropriate modeling techniques and data visualization for large datasets
Assist with high-level analysis, design, and code reviews
Basic Qualifications:
PhD in Statistics, Biostatistics, Data Science, Applied Mathematics, or another highly quantitative discipline; or Masters degree plus two years of post-graduate experience.
Demonstrated ability to apply advanced statistical methodology and data science solutions to real-world problems
Strong proficiency in Python
Strong analytical and quantitative problem solving ability, with demonstrated ability to build, test, and iterate on a variety of model forms
Demonstrated ability to work in cross-functional environment
Preferred Qualifications:
Applied experience with agricultural science and/or agricultural datasets
At least 1 year of work experience applying statistics and data science to real-world problems
Machine learning experience
Experience in SQL, PySpark, or SparklyR/Spark
Ability to translate complex technical concepts to collaborations, decision makers, and non-technical audiences
Strong drive to learn new topics and skills and to develop innovative products for our customers
Excellent interpersonal and communication skills

What We Offer:
Our teams are composed of industry experts, top scientists, and talented engineers. The environment is extremely engaging and fast-paced, with dozens of specialties coming together to provide the best possible products and experiences for our customers.
We provide competitive salaries and some of the best perks in the industry, including:
Superb medical, dental, vision, life, disability benefits, and a 401k matching program
A stocked kitchen with a large assortment of snacks & drinks to get you through the day
Encouragement to get out of the office and into the field with agents and farmers to see first-hand how our products are being used
We take part and offer various workshops, conferences, meet-up groups, tech-talks, and hackathons to encourage participation and growth in both community involvement and career development
We also hinge our cultural DNA on these five values:
Inspire one another
Innovate in all we do
Leave a mark on the world
Find the possible in the impossible
Be direct and transparent

Learn more about our team and our mission:
The Climate Corporation - The Technology Behind Making A Difference
https://youtu.be/c5TgbpE9UBI or visit https://climate.com/careers

Climate aims to create a welcoming and collaborative environment for our employees in which a diverse set of perspectives and voices are represented and celebrated.
As part of our dedication to the diversity of our workforce, The Climate Corporation is committed to Equal Employment Opportunity and does not discriminate based on race, religion, color, national origin, ethnicity, gender, sex (including pregnancy), protected veteran status, age, disability, sexual orientation, gender identity, gender expression, or any unlawful criterion existing under applicable federal, state, or local laws. If you need assistance or an accommodation due to a disability, you may contact us at accommodations@climate.com.",3.2,"The Climate Corporation
3.2","Saint Louis, MO",501 to 1000 Employees,2006,Subsidiary or Business Segment,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,0,0,14,y,n,y,y,n,y,n,y,n, MO,77,124,"The Climate Corporation
"
Marketing Data Analyst,34-62,"Overview:Can you work in a relationship with other people where it requires ongoing flexibility?Do you have an upbeat, positive attitude?Do you take pride in knowing you are helping to make things happen?If you can answer yes to these questions, Idaho Central Credit Union may have an opportunity ideally suited for you.As a Marketing Data Analyst, your primary function is to interpret credit union data, analyze results and implement decisions based on the data. You will be responsible for turning data into information and insight that aids in campaign and business decisions. Also you will be responsible for performing a range of functions in support of market research, market assessment and campaign implementation.Responsibilities:Assist in managing technical aspects of key marketing systems (marketing automation, CRM, data warehouse) used to generate, distribute, and report.Establish and maintain scalable processes that ensure best practices in campaign and lead management.Create and maintain metrics reports on marketing and sales activities, effectiveness, and business impact.Analyze marketing and sales data to develop insights and make recommendations on areas for optimizationMonitor and maintain data quality within the marketing database.Evaluate new technologies and add-on applications to improve and optimize marketing team performance.Manage membership targeting to strengthen relationships, prevent attrition, and increase profitability.Leverage web and email engagement to create member insight and data to help improve individual experiences with our digital channels.Generate and govern segmentation efforts by developing queries and custom reports, target groups, and campaigns for product and service performance.Track all marketing campaigns and provide meaningful analysis and insight for future efforts.Analyze consumer segments and other demographic information from the membership database to provide insight for product development, usage, and cross-sell opportunities.Manage third-party vendor integration with marketing systems including Salesforce Marketing Cloud, Salesforce Advertising Studio, Salesforce CRM, Adobe Analytics, Integrator MCIF, Encompass CRM and Microsoft Power BI.Represent the Credit Union at community events as needed.Qualifications:Bachelor’s Degree in Marketing, Mass Communication, Advertising or related field. 5-9 years of experience with database marketing required. Preferable experience with: Raddon Integrator MCIF, Salesforce Marketing Cloud, Salesforce Advertising Studio, Salesforce CRM, Adobe Analytics, Microsoft Power BI, SQL, and data warehouse experience. Strong analytical skills. Proficiency in marketing automation systems and integrating those systems with other technologies. Technically capable, excellent communicator and a desire to improve processes. Math skills, Secondary-level computer knowledge including Microsoft Office, especially Excel and pivot tables, etc. Ability to maintain the confidentiality of Credit Union and member records at all times. A demonstrated cooperative and positive attitude toward members and other Credit Union staff. Professional in appearance, attendance, quality, and quantity of work performed. Ability to analyze member needs, develop, and coordinate marketing activities to fit member needs with Credit Union products and services. Must be willing to comply with the Bank Secrecy Act and USA Patriot Act as implemented by Idaho Central Credit Union. Team member will be asked to work extended/unique hours.Perform tasks requiring manual dexterity (processing paperwork, filing, stapling, sorting, collating, typing, counting cash, etc.) Sit for extended periods of time. Lift 20-40 pounds of office supplies (copy paper, computer paper, mail, etc). Some heavy lifting may be required in order to execute proper event logistics. Repetitive motion using wrists, hands, and fingers. Reach keyboards. Ability to operate basic office machines (calculator, computer, telephone, copy machine, fax machine, etc).Must be eligible for membership at Idaho Central Credit Union to obtain employment.EOE/Minorities/Females/Vet/DisabilityIdaho Central Credit Union is a dynamic financial institution that is focused on helping our members achieve financial success. Established in 1940 we have become the largest and fastest growing financial institution in the state of Idaho. ICCU was voted for large companies the Best Place to work in Idaho. We have also been named by S&P Global Market Intelligence as the top performing credit union in the nation. We are a talent based organization looking for talented individuals to help our members achieve financial success.",4.2,"Idaho Central Credit Union
4.2","Chubbuck, ID",1001 to 5000 Employees,1940,Nonprofit Organization,Banks & Credit Unions,Finance,$50 to $100 million (USD),0,0,80,n,n,n,n,n,y,n,y,n, ID,34,62,"Idaho Central Credit Union
"
Associate Data Scientist,81-134,"Job Description

As an Associate Data Scientist, you will apply modern data storage, movement, and transformation architectures and techniques to extract and engineer features from any scale structured or unstructured data in health, IT system, business processes, or external data. You will also access, cleanse, compile, and transform disparate data sets to conduct exploratory and pre-defined analyses using scientifically valid techniques and generate meaningful insights as well as assist with feasibility studies to identify data availability, quality and modeling requirements, and dependencies.

Qualifications

Basic Qualifications
Master’s Degree in Statistics, Computer Science, Analytics, Biostatistics, Applied Mathematics, Software Engineering, Data Science, or related field, or equivalent relevant work experience
At least 1 year of statistical programming and applied programming work experience
At least 1 year Data mining, quantitative analysis, and/or statistical modeling including predictive performance and algorithm optimization work experience
Preferred Qualifications
Experience with relational databases and SQL; NoSQL databases (hBase, Cassandra, MongoDB, Couch DB, Riak) and unstructured data; Spark; Pig and Avro
Experience with agile software development methodologies
Expectations
Willing to travel up to 20% of the time as needed
Must be currently residing in or willing to relocate to the Kansas City metro area",3.9,"Cerner
3.9","North Kansas City, MO",10000+ Employees,1979,Company - Public,Computer Hardware & Software,Information Technology,$5 to $10 billion (USD),0,0,41,n,y,n,y,n,y,n,n,n, MO,81,134,"Cerner
"
Data Analyst,41-75,"Position: Data Analyst

Department: People

Role Overview

We’re looking for someone to support the data team with gathering, refining and presenting actionable data. The Data Analyst will report to the Senior Manager of People Data& Systems, and will play an important role in developing data strategy across all facets of the organization. An ideal candidate will have a keen eye for detail and a passion for problem solving.

Please note: this opportunity is contract to hire

What you’ll get to do here:
Clean, Analyze and Report Data to help drive decisions across the organization
Figure out what questions are being asked and figure out if those questions can be answered by data
Determine technical issues with collecting and analyzing data, and design reports
Identify new sources of data and methods to improve data collection, analysis, and reporting
Collect, analyze, and report data to meet business needs.
Distinguish trends and patterns
Report data in a comprehensive and repeatable way
Be a thought partner in the data strategy for Lincoln Center
You’ll be a fit if you:
2-4 years of relevant work experience
Possess Strong Excel Skills
Have experience collecting, analyzing, and reporting data to meet business needs.
Strong attention to detail
Have a background in computer science, mathematics, statistics, or data science
You’ll be a great fit if you:
Possess Strong Microsoft Access Skills and have familiarity developing or working with databases
Have experience developing reports with Power BI
Familiarity with HRIS systems (ADP Workforce Now for additional points)
Have working experience as an analyst in in either a HR or finance department
What is Lincoln Center for the Performing Arts?

Lincoln Center for the Performing Arts (LCPA) is the world’s leading performing arts center in the heart of New York City. In these times of heightened anxiety and vigilance, we are holding on to the important role the arts play in our lives: they nourish our hearts and minds, teach us valuable lessons and critical skills, and help us create community. We are resolved not to lose sight of what connects us, and we hope you will consider joining our talented, diverse team.

We are:

1. The manager of the Lincoln Center Campus.

-We are part of 16 acres of activity and one of eleven amazing resident organizations

2. A leading Arts Presenter.

-We curate a number of series showcasing music, dance, and theater

3. An Education Hub.

-We have reached 20 million students, educators, principals, and community members

Who are our people?

Lincoln Center is a diverse team of dreamers, collaborators, and entrepreneurs who use unique platforms in the heart of New York City and beyond to advocate for the transformative impact of artistic experiences.

Lincoln Center People imagine and create in concert with this mission by founding President John D. Rockefeller III -""The arts are not for the privileged few, but for the many. Their place is not on the periphery of daily life, but at its center.""

Lincoln Center welcomes applicants from all sectors who agilely solve problems, show up as they are, and can't stop innovating.

What’s the news?

https://www.broadwayworld.com/article/Lincoln-Center-Announces-Lincoln-Center-At-Home-Featuring-Performances-Classes-and-More-20200324

Who is our President and CEO?

Henry Timms is the co-founder of #GivingTuesday and the co-author of New Power.

Join us!

It is the policy of Lincoln Center to ensure equal employment opportunity without discrimination or harassment on the basis of race, creed, color, national origin, sex, age, religion, disability, marital or civil partnership/union status, familial or caregiver status, alienage or citizenship status, sexual orientation, gender identity or expression, pregnancy, military or veteran status, genetic information, predisposition, or carrier status, unemployment status, domestic violence, sexual violence, or stalking victim status, or any other characteristic protected by federal, state, or local law. LCPA is committed to creating a dynamic work environment",2.6,"Lincoln Center
2.6","New York, NY",1001 to 5000 Employees,1956,Nonprofit Organization,Performing Arts,"Arts, Entertainment & Recreation",$100 to $500 million (USD),0,0,64,n,n,n,n,n,n,n,y,n, NY,41,75,"Lincoln Center
"
"Data Scientist, Machine Learning",48-79,"Job Description

At Shipt, we are transforming the grocery shopping experience and giving time back to consumers. Shipt shoppers handpick fresh groceries and household essentials, then deliver them to your door in as little as one hour.

Shipt is growing and we are searching for a Data Scientist, Machine Learning to join our team! At Shipt, we're using machine learning (ML) and analytics to drive our business forward. We're looking for help understanding our data, optimizing our processes, and making predictions to improve our product and customer experience.

The data science team builds data driven solutions using machine learning and modeling techniques. Our solutions include predictive models, clustering, segmentation, complex reporting, and quantitative research. Our ideal candidate will be data-driven, intellectually curious, and a clear communicator with experience building machine learning models.

What You'll Gain
You will get experience working with a cross-disciplinary team shipping real-world products to our customers around the nation. You will also receive hands-on mentorship from your friendly teammates on topics ranging from design to career advice

Your Responsibilities
Develop a thorough understanding of our data and interpret them as they relate to shopper behavior, search performance, profitability, and product development
Build predictive models and optimization routines to capture opportunities and solve problems. Applications include modeling demand in a given market, delivering search recommendations, and optimizing internal processes
Collaborate with other members of the Data Science and engineering teams on ways to approach problems, augment code, and share new techniques
Work with functional team leaders (in Product, Operations, Marketing, etc.) to explain your analysis, findings, and recommendations
Find opportunities for improvement across the business and assist in decision-making across teams
Stay abreast of developments in the field and contribute to its advancement
Requirements
At least 2 years of experience with machine learning, predictive modeling, and/or optimization techniques
High degree of proficiency with one of R or Python
Proficiency with SQL
Experience with a data visualization tool (Tableau, Chartio, Looker, Spotfire, Power BI, etc.)
Experience with cloud computing services or platforms
Comfortable giving verbal presentations and communicating with technologies like Zoom and Slack
Bachelor's degree in a quantitative field or related experience
Nice to Haves
Experience deploying predictive models in a cloud environment
Experience with batch processing framework
Familiarity with AWS, version control, and peer code review systems
Familiarity with on-demand and/or multi-sided marketplaces
Proficiency in both R and Python
We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.",3.6,"Shipt
3.6","Birmingham, AL",1001 to 5000 Employees,2014,Subsidiary or Business Segment,Consumer Product Rental,Consumer Services,Unknown / Non-Applicable,0,0,6,y,n,y,n,n,y,y,n,n, AL,48,79,"Shipt
"
