Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Data Scientist 1,"$57K-$94K
(Glassdoor Est.)","At NGL, we strive to make data-driven decisions for our internal and external customers. We endeavor to utilize advanced analytic tools and processes to help NGL use data as an asset. To help advance us even further, we’re searching for a Data Scientist to join our team. The ideal candidate will be responsible for performing complex analyses, creating advanced visualizations, applying advanced predictive analytics and machine learning techniques, and structuring data in an optimal format for NGL.

Perform advanced analytics using predictive modeling, machine learning, and other advanced techniques.
Builds large and complex information sets using both unstructured and structured data.
Provides detailed insights to others on issues.
Use data driven insights to recommend opportunities for growth, competitiveness, and profitability.
Builds creative visualizations that tell a story.
Effectively communicate results of advanced analytics to both technical and non- technical audiences.
Recommend and develop new metrics to advance decision making.
Provides leadership, coaching, and/or mentoring to others.
Share ownership of the solution deployment, testing, quality, monitoring, and operational excellence with the rest of the agile team
Participate in regular team and stakeholder meetings
Continually develop skill sets and abilities to keep them relevant, current, and applicable to NGL's current and future needs.
Follow data science development life cycle and quality assurance best practices and governance
Perform other duties and responsibilities as needed

Critical thinking, analytical, and problem solving skills; strong technical and non-technical communication (verbal, written, listening) and interpersonal skills; highly detail oriented; ability to work independently and in a team; excellent time and priority management; proven abilities to take initiative and be innovative; working knowledge of Scrum
Required Proficiencies:
Ability to lead multiple projects while providing effective input and briefing senior leaders.
Strong problem-solving abilities.
Ability and willingness to learn and extend skills and mentor others.
Strong oral and written communication skills.
Experience in statistical modeling, machine learning, and other advanced techniques.
Experience building structured and unstructured data sets together.
Experience creating visualizations in Tableau, PowerBI, or other similar BI tool.",3.2,"National Guardian Life Insurance Company
3.2","Madison, WI",-1,201 to 500 Employees,1909,Company - Private,Insurance Carriers,Insurance,$500 million to $1 billion (USD),-1
Data Scientist,"Employer Provided Salary:
$80K-$120K","About ClearCut Analytics
ClearCut was founded in Chicago with the mission of revolutionizing strategic decision-making by the world's leading brands through data-powered business intelligence. With a focus on the Amazon marketplace, ClearCut provides a vast array of sales analytics to equip brands with the information they need to maximize their value.


Data Scientist Job Description
ClearCut Analytics is looking for an innovative, solutions-oriented Data Scientist to join our fast-paced company and growing Analytics & Product Development team. The Data Scientist will play a key role in our company’s growth through building a highly scalable infrastructure that allows our team to develop data-driven solutions to solve complex business challenges. The ideal candidate is passionate about technology, loves collaborating to solve a wide variety of challenges and interesting use cases. This role will report to ClearCut’s Chief Technology Officer.
Responsibilities
Helping to build and drive the Data Science and Analytics roadmap
Leveraging data to drive business solutions for clients that are presented through ClearCut’s SaaS platform
Performing data collection, as well as developing custom models and algorithms to apply to data sets
Using predictive modeling to increase and optimize business operations, customer experience, revenue generation, and other business outcomes
Processing, cleansing, and verifying the integrity of data used for modeling and analysis, while enhancing processes and tools used to monitor model performance and input data
Developing machine learning models and productizing AI-based solutions alongside product and development team
Ideating new data-related concepts and applications then overseeing projects through deployment
Taking end-to-end ownership of problem domains and continuously improving upon quantitative solutions
Requirements
MS or Bachelor’s Degree in Mathematics, Statistics, CS/Engineering, or similar field
4+ years of professional experience in an analytics and data science environment utilizing quantitative analytics methodologies, experience in a SaaS or eCommerce environment a plus
Experience writing programs/queries with data analysis tools and languages such as Python, R, SAS, AMPL, SQL, or Alteryx
Hands-on experience with multivariate analytic techniques: linear and logistic regression, decision tree, cluster and factor analysis, time-series forecasting methods, SVM models, and/or neural networks
Understanding of broad business principles and the ability to create solutions for real-world challenges
Ability to thrive in a fast-paced, entrepreneurial environment
Eagerness to learn and grow",4.8,"ClearCut Analytics
4.8","Chicago, IL",-1,1 to 50 Employees,2016,Company - Private,Research & Development,Business Services,Unknown / Non-Applicable,-1
Certified Lab Scientist or Certified Lab Tech,-1,"Prairie Ridge Health is looking for a team member to join or Lab Department in the role of Certified Lab Scientist or Certified Lab Tech. This position is PRN (as needed) and will be responsible for performing general laboratory testing in the areas of Hematology, Chemistry, Urinalysis, Transfusion Services, Coagulation, Microbiology, Serology, and Specimen processing with a high degree of accuracy and reliability...….POSITION SUMMARY Lab Scientist The Medical Technologist performs general laboratory testing in the areas of Hematology, Chemistry, Urinalysis, Transfusion Services, Coagulation, Microbiology, Serology, and Specimen processing with a high degree of accuracy and reliability. The data obtained is used in the diagnosis and treatment of disease involving patient of all ages. The Medical Technologist develops and maintains test procedures and protocols, and troubleshoots both technology and sample related problems. (S)he exercises independent judgment and responsibility with minimal supervision. May supervise others in the absence of the Laboratory Supervisor. Makes decisions about the accuracy of test results, instrument operation, specimen suitability, and uses sound clinical judgment in setting the priority of tests/patientsORLab TechThe Clinical Laboratory Technician I performs general laboratory testing in the areas of Hematology, Chemistry, Urinalysis, Transfusion Services, Coagulation, Microbiology, Serology, and Specimen processing with a high degree of accuracy and reliability. The data obtained is used in the diagnosis and treatment of disease involving patient of all ages. The Clinical Laboratory Technician II develops and maintains test procedures and protocols, and troubleshoots both technology and sample related problems. (S)he exercises independent judgment and responsibility with minimal supervision. Makes decisions about the accuracy of test results, instrument operation, specimen suitability, and uses sound clinical judgment in setting the priority of tests/patients.EDUCATION REQUIREMENTS/LICENSURE/CERTIFICATION/REGISTRATIONLab ScientistBachelors’ degree in Medical Technology and graduate of an accredited Medical Technology Program.Registered or eligible as a Medical Technologist (MT) or Clinical Laboratory Scientist (CLS) with a national accrediting agency (ASCP) or qualified as a MT/CLS having passed the Federal Equivalence Exam (HEW)Meets the CLIA 88 requirements for individuals performing highly complex testingCPR certificationORLab TechAssociate degree and completion of a 2 year CLT / Medical Laboratory Technician (MLT) training program.Registered or eligible as a Clinical Laboratory Technician or Medical Laboratory Technician (MLT) with a national accrediting agency (ASCP).Meets the CLIA 88 requirements for individuals performing highly complex testing.A minimum of 1 year experience in a clinical laboratory performing highly complex testing is desired or a recent new graduate of an accredited school.CPR certificationFTE: PRN (as needed)Shift: As NeededPowered by JazzHRLy3sHi576B",2.0,"Prairie Ridge Health
2.0","Columbus, WI",-1,51 to 200 Employees,-1,Hospital,-1,-1,Less than $1 million (USD),-1
Senior Data Scientist Virtual Hiring Event,"$104K-$166K
(Glassdoor Est.)","The Zebra Hiring Event // Senior Data ScientistEvent DetailsDate: Wednesday, September 30, 2020What We're Hiring ForSenior Data ScientistIntake Details:Requirements5+ years experience as a data scientistSolid mathematical foundation and knowledge of a variety of ML and statistical methodsStrong proficiency in SQL and PythonFamiliarity with writing production code and modern software engineering best practicesBachelor’s degree in a quantitative field, or equivalent experienceExperience as a data scientist in a product driven B2C startupExperience applying data science to marketing use cases (automated bidding, attribution, etc.)Technical requirementsThanks for applying to The Zebra! In this virtual interview, we will go over your background and experience and share more about The Zebra and this position.The interview will take place on Indeed's virtual interviewing platform. After RSVP, you will find a link in your email that will lead you directly to the virtual interview lobby during the event. Try to find a quiet place with good lighting and a stable internet connection.What to bring to this eventBreathe easy & be yourself. We won’t be asking you any trick questions; we want to get to know the real you.Do your research on us. We love it when people are interested & passionate about where they will be working. We have a lot of amazing people and we’d love to add more.Use the STAR method for answering interview questions (when relevant) https://www.indeed.com/career-advice/interviewing/how-to-use-the-star-interview-response-techniqueVisual presentation matters. With video/phone interviews - things can always go wrong last minute. Make sure you have prepared ahead of time.Completing our online application prior to the event is strongly encouraged and will speed up the process.What to wearDress code is Business casual (dress pants/skirt, button down/blouse, optional tie).About The ZebraAt The Zebra, our catchphrase is All Stripes Welcome. Diversity, inclusion, and belonging is an important part of our culture. We have active Employee Resource Groups and tons of extra-curricular activities (ie Cook-Offs, Trivia nights, internal/externally-led workshops, and many more!)Some of our unique perks include a $100/month wellness benefit, amazing paid parental leave, pet adoption stipends (“Pawternity Leave”), Wednesday catered lunches & a coffee bar/barista onsite! We prioritize work-life balance and encourage our employees to use their unlimited PTO!Our core values are centered around continuous learning & improvement, expressing gratitude, and delivering amazing solutions and experiences for both our customers and our employees.What is a Virtual Hiring Event?Virtual hiring events are a great way for employers and jobseekers to connect, even if they aren't in the same physical location. Hiring is a human process, and they would like to talk with you online (either through chat, on the phone, or video) to see if you’re a fit!As a Data Scientist at The Zebra, you will collaborate cross-functionally, working with product managers, engineers, and marketers to identify opportunities and scope new data science projects. You’ll dig into data, build models, and design and analyze experiments to create the maximum impact for the business. You’ll work with software engineers to write production code and deploy models. As part of a small and highly autonomous team, you will have the unique opportunity to help define the data science process and Data Science team culture as a whole.WHAT YOU'LL DO:Build models to optimize and automate marketing acquisition efforts (i.e. bidding algorithms)Collaborate with product managers, engineers, and business stakeholders to design and develop solutions that can successfully integrate with our businessBecome a technical leader on the team and mentor more junior data scientistsWrite maintainable, clean model code to deploy models using best practices from software engineeringTranslate complex analytical results into insights, and communicate them throughout the organization",4.0,"The Zebra
4.0","Austin, TX",-1,51 to 200 Employees,2012,Company - Private,Insurance Agencies & Brokerages,Insurance,Unknown / Non-Applicable,-1
Data Scientist,-1,"Job Description:Metron is seeking talented Data Scientists for a Data Science Support effort. You will be working directly with a government team to design, implement and analyze the results of data science solutions to the client’s machine learning and data mining problems. The ideal candidate will be a self-starter that enjoys working in teams and grappling with data problems from identifying data requirements to implementing analytics and machine learning solutions.Required Qualifications:BS or MS degree in Data Science, Data Analytics, Mathematics or related fieldAt least two years of industry experience is preferredExperience in theoretical and practical background in statistical analysis, machine learning, predictive modeling, and/or optimization.Generate hypotheses, design experiments, gather, review and transform data, and test the hypotheses using modern and statistically rigorous methodologies.Experience developing in languages commonly used for data analysis such as Python, R, Julia, or SASExperience working with databases such as SQL or MongoDB.Experience working with large-scale data sets.Experience producing data visualizations.Excellent verbal and written communications skillsUS Citizenship required, successful candidates will be subject to a security investigation and must meet eligibility requirements for access to classified information.Position Location: Reston, VAAll qualified applicants will receive consideration for employment and will not be discriminated against on the basis of race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, or protected veteran status. Metron takes affirmative action in support of its policy to employ and advance in employment individuals who are minorities, women, protected veterans, and individuals with disabilities.VEVRAA Federal Contractor",3.0,"Metron, Inc.
3.0","Reston, VA",-1,51 to 200 Employees,-1,Company - Private,Electrical & Electronic Manufacturing,Manufacturing,$25 to $50 million (USD),-1
Business Intelligence Analyst,-1,"Join a small, dynamic data-warehouse (DWH) team responsible for providing detailed documentation for the development of the company’s Data Warehouse. This position is not just a technical position, but a marketing/consumer/business person with strong analytical skill set. Must be hands on in this analytical role, with strong SQL skillset.· Experience with use of data warehouse tables and operational data, to effectively write and modify SQL queries of moderate to difficult complexity.· Support data analytic requests by gathering and documenting report requirements, validating the data, and presenting results to end customer. For involved data-extracts and reports – to precisely specify requests at a detailed field-level.· Partner with IT, Marketing, Finance, Ecommerce, Inventory Planning, Executive team, and Merchandising for AmeriMark and Dr. Leonard’s to the information needed in order to solve business problems.· Work with data warehouse developers to organize data in ways that will allow for more effective and accurate analysis.· Work with IT teams to help support and troubleshoot data integrity issues utilizing the data warehouse. Work as the liaison between IT and Marketing to support internal software program.· Develop and monitor on demand and Adhoc reports using Excel, SSRS, and SQL Server. Establish a sense of ownership of new and existing stored procedures and automated SSRS and legacy reports that are being utilized by the business.· Become familiar with the tables and complex logic that was created to support the Analytic Data Mart load process and business rules.· Run weekly Financial analyses of unit contribution considering various costs, scenario analysis for Finance and Marketing departments reports to management.· Assist Marketing with financials to create factors based on prior year performance for completing their future Catalog budget plans.*Job Requirements*· BA/BS degree or equivalent in customer science (or comparable) Database programming certification or equivalent is also acceptable.· Advanced T-SQL skills (3+ Years)· Experience with SQL Server Reporting Services (SSRS) or similar BI-reporting and dash boarding tools (Power BI, Tableau) – both from a report-design perspective and from hands-on delivery/refinement to end user needs.· Data manipulation, transformation, and automation using SQL to transform files from outside vendor for very complex holdout (A/B) test scenarios.· Complex problem-solving skills and ability to work with large amounts of data.· Multi-dimensional cube (SSAS) experience a plus to support Merchandising who is utilizing the tool.· Keep up to date documentation for all business requests and processes and data warehouse tables in modern data dictionary.· Experienced in communication with peers and senior management.· Strong computer skills in Excel and Microsoft Office Suite. Excellent mathematical skills.· Strong work ethic.· Good organization skills required. Ability to multitask and establish sense of urgency for challenging problems.· Experience with catalog/direct mail industry, multi-channel selling, catalog planning and execution processes, merchandise management, promotion, design and reading of basic A/B market tests and test with varied factors, as well as development of key customer KPI’s is desirable.Job Type: Full-timeBenefits:* 401(k)* 401(k) matching* Dental insurance* Disability insurance* Employee assistance program* Employee discount* Flexible spending account* Health insurance* Life insurance* Paid time off* Referral program* Retirement plan* Tuition reimbursement* Vision insuranceSchedule:* Monday to FridayExperience:* T-SQL: 3 years (Required)Education:* Bachelor's (Required)Location:* Cleveland, OH 44130 (Required)Application Question:* Are you local to the Cleveland area? Relocation may not be available for this position.Benefit Conditions:* Waiting period may apply* Only full-time employees eligibleWork Remotely:* Temporarily due to COVID-19",2.2,"AmeriMark Direct
2.2","Cleveland, OH",-1,201 to 500 Employees,-1,Company - Public,Other Retail Stores,Retail,Unknown / Non-Applicable,-1
Data Scientist Virtual Hiring Event,"$80K-$132K
(Glassdoor Est.)","Oasis Systems Hiring Event!Event DetailsDate: Wednesday, September 30, 2020What We're Hiring ForData ScientistData Analytics Project ManagerIntake Details:RequirementsSAS, Data Risk AnalystTechnical requirementsThe interview will take place on Indeed's virtual interviewing platform. After RSVP, you will find a link in your email that will lead you directly to the video interview lobby during the event. Try to find a quiet place with good lighting and a stable internet connection.What to bring to this eventUpdated resumeCompleting our online application prior to the event is strongly encouraged and will speed up the process.What to wearDress code is Casual (come as you are, but please be presentable).About Oasis Systems, LLCOasis Systems is a leading technology services company providing a broad range of capabilities in Systems Engineering, Enterprise Systems and Applications, Information Technology, Cyber Security, Specialized Engineering Solutions, Human Factors Engineering, and Professional Services. Oasis creates sustainable value for mission critical programs with all Department of Defense Branches, FAA, NRC and other Federal Agencies. With people in 36 states and 10 countries Oasis delivers talent, innovation and intelligence for mission success.Please Visit Our Page for more information!https://www.oasissystems.com/What is a Virtual Hiring Event?Virtual hiring events are a great way for employers and jobseekers to connect, even if they aren't in the same physical location. Hiring is a human process, and they would like to talk with you online (either through chat, on the phone, or video) to see if you’re a fit!The successful candidate shall provide support in data analytics (including descriptive and predictive analytics, data mining, and market risk analysis), large data manipulation, data visualization and use of data analytic tools. Activities which the contractor may be tasked to perform include gathering requirements from stakeholders, conducting financial data analysis and risk analysis in a Big Data environment, and creating interactive dashboard reports and documentations.A minimum of 8 years of relevant experience in the data analysis field and a minimum of 5 years of industrial analytics experience using statistical program languages such as SAS, R, and Python (recent use during the past 3 years) as well as extensive experience with SQL.https://oasiscareers-oasissystems.icims.com/jobs/9890/data-scientist-risk-analyst/job",3.7,"Oasis Systems, LLC
3.7","Washington, DC",-1,1001 to 5000 Employees,1997,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),-1
Senior Genomic Data Scientist,"$81K-$138K
(Glassdoor Est.)","GeneDx is seeking a Senior Genomic Data ScientistGeneDx is a rapidly-growing, diverse clinical laboratory in Gaithersburg, MD that provides molecular diagnosis for genetic disorders. GeneDx is recruiting for a full-time Senior Genomic Data Scientist. This scientist will work as part of a team to develop techniques and software for genomic and phenomic data analysis. The successful candidate must be self-motivated and able to work both independently and as part of a small team.To learn more about GeneDx, please visit our website at www.genedx.com.Responsibilities include:Develop and use bioinformatics tools to process, analyze, and interpret DNA, datasets resulting from NGS, array-based, and other technologiesOngoing assessment and incorporation of relevant public and commercial analytical tools and the development of novel methods as neededCreate methods to interpret the biological impact of genetic variantsImprove existing data pipelines to further automate internal workflowsCollaborate with the engineering team to develop large-scale data processing pipelinesCollaborate internally on software development and/or statistical analysis for scientific researchContribute development and expertise for ad-hoc analysis on interdisciplinary company projectsQualifications include:MS or PhD in Genetics, Bioinformatics, Computer Science or a related field3+ years relevant professional experience including analysis of genetic dataProficiency in Python or another major scripting languageWorking knowledge of command-line Linux, shell scripting, and HPC/cloud computing (SLURM, SGE, AWS, Azure or similar)Working knowledge of relational databases (PostgreSQL or similar) preferredExperience with Git, SVN or other version control software plus other best practices for software development preferredFamiliarity with next-generation sequencing (NGS) data and related tools (Samtools, GATK, etc.) and other genetic assay data (e.g. aCGH)Prior experience with human geneticsBenefits include:Paid Time Off (PTO)Health, dental, vision, life insurance, LT/ST disability plansFlexible Spending Account (FSA)Health Savings Account (HSA)401K retirement savings plan with company matchEmployee DiscountsRegular performance appraisalsMany promotions from withinBusiness casual dress codeTelecommuting options available",2.8,"GeneDx
2.8","Gaithersburg, MD",-1,201 to 500 Employees,-1,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10 to $25 million (USD),-1
Data Scientist - Statistics,"$77K-$124K
(Glassdoor Est.)","Position Overview:

The Soybean Crop Modeling Team at Climate is seeking a highly motivated researcher with demonstrated experience applying advanced statistics and data science methods to develop predictive agronomic models for soy crop systems.
This position is within the science R&D team that uses process, statistical, and machine-learning models, big data, and cloud computing to develop solutions for farmers via digital agriculture. You will work closely with collaborating teams focused on leveraging genetic, environmental and management data to create integrated models that can help farmers better manage key aspects of soybean crop to improve yield outcome.
The role involves working with diverse data sources, and will require the ability to apply statistical and machine learning models to soy crop data. In addition, a strong understanding and ability to communicate limitations and solutions surrounding data quality and/or quantity, as well as methodologies, to an interdisciplinary team of scientists and engineers is key. You will have the opportunity to work with the richest agricultural datasets available in the world to help farmers meet the challenges of feeding a growing population.
What You Will Do:
Explore, munge, and model large and diverse datasets
Design and prototype models using statistical modeling, process modeling, and other techniques such as machine learning
Implement and test algorithms and techniques relevant to achieving project objectives
Analyze and judge the quality of data and work with the data quality team to resolve issues
Work closely with a team of world-class scientists, engineers and mathematicians to deliver impactful scientific research
Select the most appropriate modeling techniques and data visualization for large datasets
Assist with high-level analysis, design, and code reviews
Basic Qualifications:
PhD in Statistics, Biostatistics, Data Science, Applied Mathematics, or another highly quantitative discipline; or Masters degree plus two years of post-graduate experience.
Demonstrated ability to apply advanced statistical methodology and data science solutions to real-world problems
Strong proficiency in Python
Strong analytical and quantitative problem solving ability, with demonstrated ability to build, test, and iterate on a variety of model forms
Demonstrated ability to work in cross-functional environment
Preferred Qualifications:
Applied experience with agricultural science and/or agricultural datasets
At least 1 year of work experience applying statistics and data science to real-world problems
Machine learning experience
Experience in SQL, PySpark, or SparklyR/Spark
Ability to translate complex technical concepts to collaborations, decision makers, and non-technical audiences
Strong drive to learn new topics and skills and to develop innovative products for our customers
Excellent interpersonal and communication skills

What We Offer:
Our teams are composed of industry experts, top scientists, and talented engineers. The environment is extremely engaging and fast-paced, with dozens of specialties coming together to provide the best possible products and experiences for our customers.
We provide competitive salaries and some of the best perks in the industry, including:
Superb medical, dental, vision, life, disability benefits, and a 401k matching program
A stocked kitchen with a large assortment of snacks & drinks to get you through the day
Encouragement to get out of the office and into the field with agents and farmers to see first-hand how our products are being used
We take part and offer various workshops, conferences, meet-up groups, tech-talks, and hackathons to encourage participation and growth in both community involvement and career development
We also hinge our cultural DNA on these five values:
Inspire one another
Innovate in all we do
Leave a mark on the world
Find the possible in the impossible
Be direct and transparent

Learn more about our team and our mission:
The Climate Corporation - The Technology Behind Making A Difference
https://youtu.be/c5TgbpE9UBI or visit https://climate.com/careers

Climate aims to create a welcoming and collaborative environment for our employees in which a diverse set of perspectives and voices are represented and celebrated.
As part of our dedication to the diversity of our workforce, The Climate Corporation is committed to Equal Employment Opportunity and does not discriminate based on race, religion, color, national origin, ethnicity, gender, sex (including pregnancy), protected veteran status, age, disability, sexual orientation, gender identity, gender expression, or any unlawful criterion existing under applicable federal, state, or local laws. If you need assistance or an accommodation due to a disability, you may contact us at accommodations@climate.com.",3.2,"The Climate Corporation
3.2","Saint Louis, MO",-1,501 to 1000 Employees,2006,Subsidiary or Business Segment,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1
"Senior Data Scientist, Zoro",-1,"Company Summary:Zoro.com is an eCommerce company that sells business supplies, equipment, and tools—but we’re much more than just a website. We’re a team of people who win and lose together (we prefer winning!). Since 2011, Zoro has been working hard to make it easy for our customers to purchase everything they need to make their businesses go. Zoro currently offers 3 million products, fast and free shipping, no-hassle returns, and exceptional customer service. We’ve grown quickly in a short time, recently surpassing 400 team members and reaching annual revenue of over $500 million. Add to that our award-winning culture—we were named a Great Place to Work for 2019-20, among other accolades—and we think Zoro is a pretty amazing place to work and grow.Primary Function:Our Sr. Data Scientists are key contributors to the development of Zoro’s customer, product, eCommerce, and pricing plans. The Data Science team covers a broad scope of projects including customer segmentation, A/B testing, marketing investment optimization, predictive modeling, promotion forecasting, and pricing analysis. We are closely integrated with our business leaders and support their ability to make critical decisions. At Zoro, you will be challenged by new questions every day.Duties and Responsibilities:Lead data science projects from beginning to end: develop and refine the idea, create a project plan and methodology, collaborate with business partners, execute, and provide recommendations for the companyCollaborate with other data scientists to develop and implement algorithms, write code, evaluate relevant academic research, and deliver outputsAdvise the company about tools, data sources, and best practices to facilitate digital marketing, pricing, and web analyticsBuild predictive and inference models using Python and R to support business initiatives in the areas of customer acquisition, activation, engagement, retention, or channel investment optimizationDocument code and data science processes that are critical to the company, and develop strategies to ensure those processes are robust and fault-tolerantCommunicate findings to business leaders and colleagues using data visualizations, presentations, and written meansQualifications:Experience leading data science projects that have a direct impact on company objectivesDemonstrated ability to assist business decision-making through data mining and machine learningStrong communication skills to collaborate effectively with business stakeholders. Must be able to interact cross-functionally and drive both business and technical discussions5+ years’ progressive business experience in areas including marketing analytics, database marketing, data mining, or statistical modeling. Experience using data science or advanced analytics in an Internet retailer or a top-tier consumer-focused company is requiredAbility to translate complex business problems into project plans and solve them by analyzing large amounts of dataFamiliarity with Python or R for statistical modeling, clustering, classification, machine learning, and data miningDemonstrated proficiency in SQL and cloud-hosted data platforms (Google Cloud Platform, AWS, etc)Familiarity with BI tools such as Tableau or Looker, and ability to communicate results to business partnersMaster’s degree preferred in quantitative fields such as Statistics, Engineering, Operational Research, or EconomicsKnowledge of web tracking technology and web analytics tools (Google Analytics, Adobe Analytics, etc.) a definite plusFinal note: We share a commitment to our Zoro values – Win & Lose Together (We prefer winning!), Take Ownership, We Are Transparent, and Aspire to be Customer-Obsessed. Everything we do at Zoro is centered around delighting our customers. It's a natural extension of our company culture and how we care for each other. We believe when we act in ways that are consistent with these values, we can solve any technical challenge that lies ahead of us. As a Zoro employee, you can expect to work with smart, energetic people, learn something every day, and be valued for your perspective.Zoro is an Equal Opportunity Workplace and an Affirmative Action Employer.All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or protected veteran status.",2.0,"Zoro Tools
2.0","Chicago, IL",-1,Unknown,-1,Company - Private,-1,-1,Less than $1 million (USD),-1
